X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0.0888732
         7.5                    0.181548
        12.5                    0.0983783
        17.5                    0.0466281
        22.5                    0.0238685
        27.5                    0.020172
        32.5                    0.0202249
        37.5                    0.0295716
        42.5                    0.0351691
        47.5                    0.0496908
        52.5                    0.0606746
        57.5                    0.0904046
        62.5                    0.107303
        67.5                    0.14997
        72.5                    0.20209
        77.5                    0.269629
        82.5                    0.351163
        87.5                    0.297934
        92.5                    0.241378
        97.5                    0.209694
       102.5                    0.191212
       107.5                    0.1797
       112.5                    0.167343
       117.5                    0.160584
       122.5                    0.150445
       127.5                    0.148492
       132.5                    0.141046
       137.5                    0.130062
       142.5                    0.127105
       147.5                    0.116016
       152.5                    0.107883
       157.5                    0.0986952
       162.5                    0.0897181
       167.5                    0.0844902
       172.5                    0.0714471
       177.5                    0.0464696
       182.5                    0.0464168
       187.5                    0.0386015
       192.5                    0.0341657
       197.5                    0.0326872
       202.5                    0.0301525
       207.5                    0.0292019
       212.5                    0.0250302
       217.5                    0.0252943
       222.5                    0.0245022
       227.5                    0.021281
       232.5                    0.0200136
       237.5                    0.0204361
       242.5                    0.0172677
       247.5                    0.0161588
       252.5                    0.0148386
       257.5                    0.0119871
       262.5                    0.0135184
       267.5                    0.0134656
       272.5                    0.0122511
       277.5                    0.0125151
       282.5                    0.00998041
       287.5                    0.0109837
       292.5                    0.00924112
       297.5                    0.00781535

 bins are 5 GeV wide 
 The Integral is 25.4144
 Number of entries = 100000
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
