X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0.00396048
         7.5                    0.0115646
        12.5                    0.0108253
        17.5                    0.00749851
        22.5                    0.00533345
        27.5                    0.00406609
        32.5                    0.00306277
        37.5                    0.0049638
        42.5                    0.00570309
        47.5                    0.00728728
        52.5                    0.00961076
        57.5                    0.0146274
        62.5                    0.0196968
        67.5                    0.0271425
        72.5                    0.0388655
        77.5                    0.0546546
        82.5                    0.104715
        87.5                    0.0988536
        92.5                    0.0951043
        97.5                    0.0922528
       102.5                    0.0945763
       107.5                    0.100807
       112.5                    0.108253
       117.5                    0.108253
       122.5                    0.118022
       127.5                    0.13059
       132.5                    0.135448
       137.5                    0.143422
       142.5                    0.151396
       147.5                    0.159211
       152.5                    0.167343
       157.5                    0.176057
       162.5                    0.18873
       167.5                    0.200981
       172.5                    0.204202
       177.5                    0.17537
       182.5                    0.154564
       187.5                    0.13867
       192.5                    0.12156
       197.5                    0.108306
       202.5                    0.0976918
       207.5                    0.0931505
       212.5                    0.0865497
       217.5                    0.0790512
       222.5                    0.074193
       227.5                    0.0698629
       232.5                    0.0625228
       237.5                    0.0629452
       242.5                    0.052912
       247.5                    0.0500605
       252.5                    0.0494268
       257.5                    0.0449382
       262.5                    0.0451495
       267.5                    0.040925
       272.5                    0.0387071
       277.5                    0.036278
       282.5                    0.0340073
       287.5                    0.0310502
       292.5                    0.0300996
       297.5                    0.0288851

 bins are 5 GeV wide 
 The Integral is 23.0698
 Number of entries = 100000
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
