X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0
         7.5                    0
        12.5                    0
        17.5                    0
        22.5                    0.0294771
        27.5                    0.127364
        32.5                    0.14485
        37.5                    0.166192
        42.5                    0.177338
        47.5                    0.188115
        52.5                    0.193767
        57.5                    0.189911
        62.5                    0.185104
        67.5                    0.184311
        72.5                    0.170154
        77.5                    0.157792
        82.5                    0.146805
        87.5                    0.13476
        92.5                    0.122821
        97.5                    0.114422
       102.5                    0.101374
       107.5                    0.0858957
       112.5                    0.0774963
       117.5                    0.073323
       122.5                    0.0633917
       127.5                    0.0539358
       132.5                    0.0487059
       137.5                    0.0418913
       142.5                    0.0373483
       147.5                    0.0344956
       152.5                    0.0279452
       157.5                    0.0237191
       162.5                    0.0239304
       167.5                    0.019176
       172.5                    0.0167988
       177.5                    0.014897
       182.5                    0.0148442
       187.5                    0.0126783
       192.5                    0.0120972
       197.5                    0.0104068
       202.5                    0.00813527
       207.5                    0.00802961
       212.5                    0.00818809
       217.5                    0.0073957
       222.5                    0.00586373
       227.5                    0.00596938
       232.5                    0.00544112
       237.5                    0.00385633
       242.5                    0.00443742
       247.5                    0.00417329
       252.5                    0.00406763
       257.5                    0.00375067
       262.5                    0.0035922
       267.5                    0.00343372
       272.5                    0.00248284
       277.5                    0.00211306
       282.5                    0.00216588
       287.5                    0.0017961
       292.5                    0.00206023
       297.5                    0.0020074
       302.5                    0.00184892
       307.5                    0.00105653
       312.5                    0.0017961
       317.5                    0.00174327
       322.5                    0.00132066
       327.5                    0.000950875
       332.5                    0.000950875
       337.5                    0.00105653
       342.5                    0.00132066
       347.5                    0.000950875
       352.5                    0.000898049
       357.5                    0.00073957
       362.5                    0.000686743
       367.5                    0.000950875
       372.5                    0.000845222
       377.5                    0.000633917
       382.5                    0.000633917
       387.5                    0.000422611
       392.5                    0.000264132
       397.5                    0.00058109
       402.5                    0.000475438
       407.5                    0.000369785
       412.5                    0.000264132
       417.5                    0.000369785
       422.5                    0.000422611
       427.5                    0.000369785
       432.5                    0.000264132
       437.5                    0.000528264
       442.5                    0.000211306
       447.5                    0.000211306
       452.5                    0.000264132
       457.5                    0.000264132
       462.5                    5.28264e-05
       467.5                    0.000264132
       472.5                    0.000211306
       477.5                    5.28264e-05
       482.5                    0.000264132
       487.5                    0.000158479
       492.5                    0.000475438
       497.5                    0.000158479

 bins are 5 GeV wide 
 The Integral is 16.709
 Number of entries = 63333
 Number of bins = 100
 Note I am cutting off the first and last bins (over and under flow)
