X-Axis Position (GeV)    Bin Content(dsigma/dx)
     1.66667                    0
           5                    0
     8.33333                    0
     11.6667                    0.0991287
          15                    0.0904916
     18.3333                    0.087956
     21.6667                    0.0816168
          25                    0.0796358
     28.3333                    0.0635502
     31.6667                    0.0604598
          35                    0.0508718
     38.3333                    0.0458005
     41.6667                    0.0419177
          45                    0.0374011
     48.3333                    0.0326467
     51.6667                    0.0300318
          55                    0.0259113
     58.3333                    0.0229795
     61.6667                    0.0196514
          65                    0.0166403
     68.3333                    0.0142631
     71.6667                    0.0136292
          75                    0.0108558
     78.3333                    0.00919179
     81.6667                    0.00832016
          85                    0.00768624
     88.3333                    0.00530905
     91.6667                    0.00610145
          95                    0.00554677
     98.3333                    0.00483362
     101.667                    0.00435818
         105                    0.00396198
     108.333                    0.00356578
     111.667                    0.00261491
         115                    0.00245643
     118.333                    0.00269415
     121.667                    0.00182251
         125                    0.00253567
     128.333                    0.00158479
     131.667                    0.00166403
         135                    0.000950875
     138.333                    0.00118859
     141.667                    0.00158479
         145                    0.000950875
     148.333                    0.000713156
     151.667                    0.00134707
         155                    0.000475438
     158.333                    0.000713156
     161.667                    0.000633917
         165                    0.000316958
     168.333                    0.000554677
     171.667                    0.000237719
         175                    0.000316958
     178.333                    0.000158479
     181.667                    0
         185                    0.000158479
     188.333                    7.92396e-05
     191.667                    0.000316958
         195                    7.92396e-05
     198.333                    7.92396e-05

 bins are 3.33333 GeV wide 
 The Integral is 3.36848
 Number of entries = 12778
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
