X-Axis Position (GeV)    Bin Content(dsigma/dx)
     1.66667                    0
           5                    0
     8.33333                    0
     11.6667                    0.0074457
          15                    0.00665361
     18.3333                    0.0065744
     21.6667                    0.00609914
          25                    0.00554467
     28.3333                    0.0041189
     31.6667                    0.00427732
          35                    0.00403969
     38.3333                    0.00356443
     41.6667                    0.00340601
          45                    0.00277234
     48.3333                    0.00237629
     51.6667                    0.00182182
          55                    0.0016634
     58.3333                    0.000712886
     61.6667                    0.00118814
          65                    0.00110893
     68.3333                    0.00102972
     71.6667                    0.000554467
          75                    0.000633677
     78.3333                    0.000792096
     81.6667                    0.000396048
          85                    0.000237629
     88.3333                    0.000158419
     91.6667                    0.000237629
          95                    0.000158419
     98.3333                    0.000237629
     101.667                    0.000396048
         105                    7.92096e-05
     108.333                    0.000396048
     111.667                    0.000158419
         115                    0.000158419
     118.333                    0.000158419
     121.667                    7.92096e-05
         125                    7.92096e-05
     128.333                    7.92096e-05
     131.667                    0.000158419
         135                    0
     138.333                    0.000158419
     141.667                    7.92096e-05
         145                    0
     148.333                    7.92096e-05
     151.667                    0
         155                    0
     158.333                    0
     161.667                    0
         165                    0
     168.333                    0
     171.667                    0
         175                    7.92096e-05
     178.333                    0
     181.667                    0
         185                    0
     188.333                    0
     191.667                    7.92096e-05
         195                    0
     198.333                    0

 bins are 3.33333 GeV wide 
 The Integral is 0.233404
 Number of entries = 886
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
