X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0
         7.5                    0
        12.5                    0.000105613
        17.5                    5.28064e-05
        22.5                    0.000158419
        27.5                    0.000264032
        32.5                    0.000158419
        37.5                    0.000264032
        42.5                    0.000422451
        47.5                    0.000369645
        52.5                    0.00073929
        57.5                    0.000686483
        62.5                    0.000475258
        67.5                    0.00100332
        72.5                    0.00137297
        77.5                    0.00121455
        82.5                    0.00142577
        87.5                    0.00147858
        92.5                    0.00174261
        97.5                    0.00205945
       102.5                    0.00211226
       107.5                    0.00211226
       112.5                    0.00264032
       117.5                    0.00295716
       122.5                    0.00364364
       127.5                    0.00242909
       132.5                    0.00258751
       137.5                    0.00179542
       142.5                    0.00073929
       147.5                    0.00105613
       152.5                    0.000844902
       157.5                    0.000528064
       162.5                    0.000369645
       167.5                    0.000211226
       172.5                    0.000105613
       177.5                    0.000158419
       182.5                    0.000105613
       187.5                    0.000105613
       192.5                    0.000105613
       197.5                    5.28064e-05
       202.5                    5.28064e-05
       207.5                    5.28064e-05
       212.5                    5.28064e-05
       217.5                    0.000158419
       222.5                    5.28064e-05
       227.5                    5.28064e-05
       232.5                    0
       237.5                    0
       242.5                    0
       247.5                    5.28064e-05
       252.5                    5.28064e-05
       257.5                    0
       262.5                    5.28064e-05
       267.5                    0
       272.5                    5.28064e-05
       277.5                    0
       282.5                    0
       287.5                    0
       292.5                    0
       297.5                    0

 bins are 5 GeV wide 
 The Integral is 0.19644
 Number of entries = 886
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
