X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0.00105613
         7.5                    0.00253471
        12.5                    0.00105613
        17.5                    0.000369645
        22.5                    0.000369645
        27.5                    0.000211226
        32.5                    0.000158419
        37.5                    0.000105613
        42.5                    5.28064e-05
        47.5                    0.000264032
        52.5                    0.00058087
        57.5                    0.00058087
        62.5                    0.000686483
        67.5                    0.00126735
        72.5                    0.00184822
        77.5                    0.0024819
        82.5                    0.00311558
        87.5                    0.00343242
        92.5                    0.00216506
        97.5                    0.00211226
       102.5                    0.00184822
       107.5                    0.00184822
       112.5                    0.00158419
       117.5                    0.00100332
       122.5                    0.00132016
       127.5                    0.000792096
       132.5                    0.00100332
       137.5                    0.00153139
       142.5                    0.00132016
       147.5                    0.00100332
       152.5                    0.000792096
       157.5                    0.00126735
       162.5                    0.000422451
       167.5                    0.000844902
       172.5                    0.000633677
       177.5                    0.000316838
       182.5                    0.000264032
       187.5                    0.000422451
       192.5                    0.000369645
       197.5                    0.000211226
       202.5                    0.000105613
       207.5                    0.000105613
       212.5                    0.000158419
       217.5                    5.28064e-05
       222.5                    0.000264032
       227.5                    0.000316838
       232.5                    0.000158419
       237.5                    0.000158419
       242.5                    0.000158419
       247.5                    0.000158419
       252.5                    0.000105613
       257.5                    5.28064e-05
       262.5                    0
       267.5                    5.28064e-05
       272.5                    5.28064e-05
       277.5                    5.28064e-05
       282.5                    0.000105613
       287.5                    5.28064e-05
       292.5                    0
       297.5                    5.28064e-05

 bins are 5 GeV wide 
 The Integral is 0.227068
 Number of entries = 886
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
