X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    5.28064e-05
         7.5                    0.000158419
        12.5                    5.28064e-05
        17.5                    0.000158419
        22.5                    0.000105613
        27.5                    0
        32.5                    0
        37.5                    0
        42.5                    0
        47.5                    5.28064e-05
        52.5                    0.000211226
        57.5                    0.000105613
        62.5                    0.000105613
        67.5                    0.000369645
        72.5                    0.000264032
        77.5                    0.000264032
        82.5                    0.00100332
        87.5                    0.00110893
        92.5                    0.000844902
        97.5                    0.000897709
       102.5                    0.00100332
       107.5                    0.00142577
       112.5                    0.00132016
       117.5                    0.000897709
       122.5                    0.00110893
       127.5                    0.000844902
       132.5                    0.00116174
       137.5                    0.00184822
       142.5                    0.001637
       147.5                    0.00142577
       152.5                    0.00158419
       157.5                    0.00179542
       162.5                    0.0016898
       167.5                    0.00116174
       172.5                    0.00232348
       177.5                    0.00232348
       182.5                    0.00116174
       187.5                    0.00137297
       192.5                    0.00121455
       197.5                    0.00116174
       202.5                    0.000633677
       207.5                    0.00058087
       212.5                    0.000633677
       217.5                    0.000422451
       222.5                    0.000686483
       227.5                    0.000369645
       232.5                    0.000316838
       237.5                    0.000686483
       242.5                    0.000369645
       247.5                    0.00058087
       252.5                    0.000422451
       257.5                    0.000264032
       262.5                    0.000316838
       267.5                    0.000158419
       272.5                    0.000211226
       277.5                    0.000211226
       282.5                    0.000369645
       287.5                    0.000158419
       292.5                    0.000158419
       297.5                    0.000158419

 bins are 5 GeV wide 
 The Integral is 0.209641
 Number of entries = 886
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
