X-Axis Position (GeV)    Bin Content(dsigma/dx)
     1.66667                    0.000237629
           5                    0.000792096
     8.33333                    0.000871306
     11.6667                    0.00118814
          15                    0.00174261
     18.3333                    0.00253471
     21.6667                    0.00229708
          25                    0.00308917
     28.3333                    0.0024555
     31.6667                    0.00221787
          35                    0.00237629
     38.3333                    0.00269313
     41.6667                    0.00300996
          45                    0.00285155
     48.3333                    0.00237629
     51.6667                    0.0033268
          55                    0.00198024
     58.3333                    0.00221787
     61.6667                    0.00237629
          65                    0.00190103
     68.3333                    0.00158419
     71.6667                    0.00237629
          75                    0.0016634
     78.3333                    0.00142577
     81.6667                    0.00142577
          85                    0.0024555
     88.3333                    0.000871306
     91.6667                    0.000950515
          95                    0.000792096
     98.3333                    0.00110893
     101.667                    0.000792096
         105                    0.000475258
     108.333                    0.000871306
     111.667                    0.00102972
         115                    0.00110893
     118.333                    0.000237629
     121.667                    0.00102972
         125                    0.000712886
     128.333                    7.92096e-05
     131.667                    0.000316838
         135                    0.000396048
     138.333                    0.000237629
     141.667                    0.000316838
         145                    0.000237629
     148.333                    0.000158419
     151.667                    0.000633677
         155                    0.000316838
     158.333                    0.000158419
     161.667                    0.000237629
         165                    0.000158419
     168.333                    0.000316838
     171.667                    0.000396048
         175                    0.000237629
     178.333                    0.000316838
     181.667                    7.92096e-05
         185                    0.000316838
     188.333                    7.92096e-05
     191.667                    0
         195                    7.92096e-05
     198.333                    7.92096e-05

 bins are 3.33333 GeV wide 
 The Integral is 0.228652
 Number of entries = 886
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
