X-Axis Position (GeV)    Bin Content(dsigma/dx)
     1.66667                    0
           5                    0
     8.33333                    0
     11.6667                    0.110022
          15                    0.10226
     18.3333                    0.097507
     21.6667                    0.0912495
          25                    0.0809522
     28.3333                    0.0735857
     31.6667                    0.057823
          35                    0.0535457
     38.3333                    0.0520407
     41.6667                    0.0444366
          45                    0.0385751
     48.3333                    0.032872
     51.6667                    0.0319215
          55                    0.0269313
     58.3333                    0.0240005
     61.6667                    0.0190103
          65                    0.0189311
     68.3333                    0.0154459
     71.6667                    0.0144954
          75                    0.0125943
     78.3333                    0.00879227
     81.6667                    0.0100596
          85                    0.0099012
     88.3333                    0.00601993
     91.6667                    0.00752491
          95                    0.00514862
     98.3333                    0.00586151
     101.667                    0.00506941
         105                    0.00396048
     108.333                    0.00308917
     111.667                    0.00285155
         115                    0.00261392
     118.333                    0.00198024
     121.667                    0.00174261
         125                    0.00174261
     128.333                    0.00213866
     131.667                    0.00118814
         135                    0.00126735
     138.333                    0.00118814
     141.667                    0.00102972
         145                    0.000871306
     148.333                    0.000871306
     151.667                    0.000712886
         155                    0.00102972
     158.333                    0.000712886
     161.667                    0.000396048
         165                    7.92096e-05
     168.333                    0.000158419
     171.667                    0.000316838
         175                    0.000396048
     178.333                    0.000633677
     181.667                    0.000316838
         185                    0.000396048
     188.333                    7.92096e-05
     191.667                    0.000237629
         195                    0
     198.333                    7.92096e-05

 bins are 3.33333 GeV wide 
 The Integral is 3.62886
 Number of entries = 13762
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
